offense;lon;lat
aggravated assault;-95.3632715 ;29.7632836 
aggravated assault;-95.5212940 ;29.7876440 
aggravated assault;-95.5341101 ;29.6763761 
aggravated assault;-95.4402882 ;29.7038250 
aggravated assault;-95.3677266 ;29.6693424 
aggravated assault;-95.3754628 ;29.6937301 
aggravated assault;-95.5052360 ;29.8303770 
aggravated assault;-95.3129168 ;29.8685593 
aggravated assault;-95.3862082 ;29.7468016 
aggravated assault;-95.4887973 ;29.7038427 
aggravated assault;-95.4764457 ;29.7111193 
aggravated assault;-95.2932138 ;29.7691690 
aggravated assault;-95.5031597 ;29.6395020 
aggravated assault;-95.3925717 ;29.7446644 
aggravated assault;-95.4635603 ;29.8086580 
aggravated assault;-95.5678557 ;29.6889504 
aggravated assault;-95.0994890 ;29.5472900 
aggravated assault;-95.3631296 ;29.7782752 
aggravated assault;-95.4238616 ;29.6029539 
aggravated assault;-95.3674428 ;29.7554486 
aggravated assault;-95.5045710 ;29.8531524 
aggravated assault;-95.4643270 ;29.5839408 
aggravated assault;-95.3622102 ;29.8550795 
aggravated assault;-95.4071540 ;29.7719869 
aggravated assault;-95.3310235 ;29.7851994 
aggravated assault;-95.4094686 ;29.7718027 
aggravated assault;-95.3373068 ;29.6644611 
aggravated assault;-95.2827760 ;29.8501750 
aggravated assault;-95.4613221 ;29.7476393 
aggravated assault;-95.6188635 ;29.7189801 
aggravated assault;-95.4256590 ;29.8083990 
aggravated assault;-95.4489628 ;29.6666400 
aggravated assault;-95.3605918 ;29.6800374 
aggravated assault;-95.3436354 ;29.8169071 
aggravated assault;-95.2201792 ;29.7757542 
aggravated assault;-95.4443124 ;29.7397404 
aggravated assault;-95.5300697 ;29.7334113 
aggravated assault;-95.3587562 ;29.7471548 
aggravated assault;-95.3165212 ;29.8588407 
aggravated assault;-95.5247492 ;29.7929305 
aggravated assault;-95.4920553 ;29.7261186 
aggravated assault;-95.3638707 ;29.6888821 
aggravated assault;-95.3675086 ;29.7331250 
aggravated assault;-95.5590642 ;29.6897544 
aggravated assault;-95.4008586 ;29.7690074 
aggravated assault;-95.3395637 ;29.8220402 
aggravated assault;-95.2499585 ;29.6193294 
aggravated assault;-95.3094340 ;29.6659790 
aggravated assault;-95.3681468 ;29.8070558 
aggravated assault;-95.2412610 ;29.6208282 
aggravated assault;-95.5533897 ;29.9653316 
aggravated assault;-95.4151210 ;29.8738320 
aggravated assault;-95.5040399 ;29.7126466 
aggravated assault;-95.3951581 ;29.9505382 
aggravated assault;-95.5774025 ;29.6732736 
aggravated assault;-95.5036391 ;29.6894907 
aggravated assault;-95.4483456 ;29.8525942 
aggravated assault;-95.5247492 ;29.7929305 
aggravated assault;-95.2244001 ;29.6203782 
aggravated assault;-95.3222434 ;29.7964318 
aggravated assault;-95.5314953 ;29.7376463 
aggravated assault;-95.3806635 ;29.7888725 
aggravated assault;-95.4813826 ;29.8214631 
aggravated assault;-95.5477895 ;29.6755863 
aggravated assault;-95.2868810 ;29.7004221 
aggravated assault;-95.4752354 ;29.7315862 
aggravated assault;-95.3115884 ;29.8708839 
aggravated assault;-95.5090589 ;29.6608730 
aggravated assault;-95.3878318 ;29.7920098 
aggravated assault;-95.3549771 ;29.7326031 
aggravated assault;-95.3560976 ;29.6674644 
aggravated assault;-95.2604687 ;29.6851331 
aggravated assault;-95.3931895 ;29.8235170 
aggravated assault;-95.5088088 ;29.6783875 
aggravated assault;-95.5472107 ;29.7288688 
aggravated assault;-95.3567137 ;29.7298646 
aggravated assault;-95.2662676 ;29.8548725 
aggravated assault;-95.5044600 ;29.8227090 
aggravated assault;-95.3501026 ;29.8214328 
aggravated assault;-95.4849820 ;29.7200746 
aggravated assault;-95.4918887 ;29.7164179 
aggravated assault;-95.3655262 ;29.6852940 
aggravated assault;-95.5642031 ;29.6893036 
aggravated assault;-95.3607522 ;29.7022702 
aggravated assault;-95.3545687 ;29.8110069 
aggravated assault;-95.3846636 ;29.8599864 
aggravated assault;-95.2624411 ;29.8506645 
aggravated assault;-95.4258569 ;29.6297980 
aggravated assault;-95.3115389 ;29.7803083 
aggravated assault;-95.3614987 ;29.7759086 
aggravated assault;-95.2957446 ;29.8178902 
aggravated assault;-95.4231241 ;29.8823877 
aggravated assault;-95.5585576 ;29.7597170 
aggravated assault;-95.5061389 ;29.8630316 
aggravated assault;-95.1148079 ;29.5664805 
aggravated assault;-95.5522426 ;29.6983644 
aggravated assault;-95.4853251 ;29.8075200 
aggravated assault;-95.3723847 ;29.7476609 
aggravated assault;-95.5477392 ;29.7121687 
aggravated assault;-95.3512724 ;29.7629161 
aggravated assault;-95.3469271 ;29.8084360 
aggravated assault;-95.1970553 ;29.5955557 
aggravated assault;-95.5523072 ;29.7002417 
aggravated assault;-95.2831201 ;29.8238498 
aggravated assault;-95.2494973 ;29.6489306 
aggravated assault;-95.5261589 ;29.6919172 
aggravated assault;-95.3231610 ;29.7433445 
aggravated assault;-95.3857830 ;29.7603836 
aggravated assault;-95.1675463 ;30.0619417 
aggravated assault;-95.5085558 ;29.6583957 
aggravated assault;-95.2295392 ;29.6218207 
aggravated assault;-95.3982806 ;29.7344894 
aggravated assault;-95.6088649 ;29.7107040 
aggravated assault;-95.2630489 ;29.6547325 
aggravated assault;-95.5456075 ;29.7237452 
aggravated assault;-95.3754090 ;29.8701475 
aggravated assault;-95.6046628 ;29.7060910 
aggravated assault;-95.3756970 ;29.7714871 
aggravated assault;-95.2752467 ;29.8361718 
aggravated assault;-95.2201792 ;29.7757542 
aggravated assault;-95.5525344 ;29.8433481 
aggravated assault;-95.3814415 ;29.7344832 
aggravated assault;-95.3431091 ;29.8623389 
aggravated assault;-95.4812436 ;29.6509979 
aggravated assault;-95.2892068 ;29.8394348 
aggravated assault;-95.3376966 ;29.8289330 
aggravated assault;-95.4256770 ;29.7774793 
aggravated assault;-95.3877659 ;29.9529655 
aggravated assault;-95.4212468 ;29.6875837 
aggravated assault;-95.5819770 ;29.6589320 
aggravated assault;-95.2821036 ;29.8061353 
aggravated assault;-95.2654850 ;29.6723330 
aggravated assault;-95.2810059 ;29.7106526 
aggravated assault;-95.4268480 ;29.8835570 
aggravated assault;-95.3658549 ;29.6516293 
aggravated assault;-95.5307714 ;29.6561014 
aggravated assault;-95.5143457 ;29.8540643 
aggravated assault;-95.5064900 ;29.6564030 
aggravated assault;-95.3455011 ;29.8102297 
aggravated assault;-95.3310434 ;29.8188875 
aggravated assault;-95.2554715 ;29.7395758 
aggravated assault;-95.5084236 ;29.6560885 
aggravated assault;-95.3705182 ;29.6475803 
aggravated assault;-95.5373110 ;29.7212000 
aggravated assault;-95.4451831 ;29.8117772 
aggravated assault;-95.4855920 ;29.7392230 
aggravated assault;-95.3877659 ;29.9529655 
aggravated assault;-95.3530640 ;29.6580580 
aggravated assault;-95.3176032 ;29.8481309 
aggravated assault;-95.4133010 ;29.7704725 
aggravated assault;-95.3725102 ;29.8497845 
aggravated assault;-95.6135910 ;29.6928026 
aggravated assault;-95.5514895 ;29.6843570 
aggravated assault;-95.2620790 ;29.8304191 
aggravated assault;-95.2874277 ;29.6871284 
aggravated assault;-95.4260138 ;29.6165514 
aggravated assault;-95.4346360 ;29.9681240 
aggravated assault;-95.2771578 ;29.6690672 
aggravated assault;-95.3551523 ;29.7172213 
aggravated assault;-95.5523072 ;29.7002417 
aggravated assault;-95.4285434 ;29.8919590 
aggravated assault;-95.5830222 ;29.7366784 
aggravated assault;-95.5585439 ;29.6676812 
