offense;lon;lat
auto theft;-95.4054070 ;29.9471441 
auto theft;-95.3828579 ;29.7174413 
auto theft;-95.2654850 ;29.6723330 
auto theft;-95.4735116 ;29.8141572 
auto theft;-95.3492036 ;29.6559177 
auto theft;-95.3067954 ;29.7577476 
auto theft;-95.4258220 ;29.8869150 
auto theft;-95.5053430 ;29.8247640 
auto theft;-95.2393491 ;29.6973143 
auto theft;-95.6015776 ;29.7826440 
auto theft;-95.3340261 ;29.8710063 
auto theft;-95.3359275 ;29.9514075 
auto theft;-95.4151051 ;29.7482924 
auto theft;-95.3527934 ;29.6977197 
auto theft;-95.3605824 ;29.7655722 
auto theft;-95.5550348 ;29.6816157 
auto theft;-95.2285904 ;29.6017560 
auto theft;-95.6206294 ;29.7360288 
auto theft;-95.5972050 ;29.6849590 
auto theft;-95.3674428 ;29.7554486 
auto theft;-95.5155030 ;29.7033400 
auto theft;-95.3342611 ;29.8327002 
auto theft;-95.5504540 ;29.6836590 
auto theft;-95.3337980 ;29.6606590 
auto theft;-95.3660908 ;29.6393300 
auto theft;-95.4199142 ;29.9491858 
auto theft;-95.3721941 ;29.7461840 
auto theft;-95.5392636 ;29.7269083 
auto theft;-95.5378930 ;29.7281240 
auto theft;-95.2773043 ;29.6736640 
auto theft;-95.2776570 ;29.6622890 
auto theft;-95.2607745 ;29.8093080 
auto theft;-95.3812823 ;29.8700590 
auto theft;-95.4952404 ;29.7370954 
auto theft;-95.3248868 ;29.7889460 
auto theft;-95.4856251 ;29.7317204 
auto theft;-95.3156142 ;29.7120711 
auto theft;-95.3772332 ;29.8593713 
auto theft;-95.5819770 ;29.6589320 
auto theft;-95.1378560 ;29.5654600 
auto theft;-95.3538713 ;29.7524725 
auto theft;-95.5863398 ;29.7062891 
auto theft;-95.4191252 ;29.8851009 
auto theft;-95.5196386 ;29.6691031 
auto theft;-95.5746947 ;29.6906556 
auto theft;-95.5354951 ;29.6107154 
auto theft;-95.4827333 ;29.7557957 
auto theft;-95.2423655 ;29.6701678 
auto theft;-95.5954382 ;29.6949378 
auto theft;-95.4297630 ;29.7266080 
auto theft;-95.3534153 ;29.7538981 
auto theft;-95.3611509 ;29.7635932 
auto theft;-95.2853132 ;29.6181716 
auto theft;-95.4504970 ;29.5869720 
auto theft;-95.2588581 ;29.8542542 
auto theft;-95.4252298 ;29.6263854 
auto theft;-95.5555775 ;29.9620006 
auto theft;-95.4438614 ;29.6220396 
auto theft;-95.4977574 ;29.8447123 
auto theft;-95.3308815 ;29.8705623 
auto theft;-95.4654101 ;29.7317366 
auto theft;-95.4968790 ;29.7500649 
auto theft;-95.4973598 ;29.6926813 
auto theft;-95.4606050 ;29.6518950 
auto theft;-95.1469583 ;29.5653592 
auto theft;-95.5514895 ;29.6843570 
auto theft;-95.3955680 ;29.7488977 
