offense;lon;lat
burglary;-95.3921410 ;29.9481474 
burglary;-95.3310259 ;29.6960681 
burglary;-95.5518430 ;29.8171610 
burglary;-95.5610873 ;29.7585626 
burglary;-95.3973565 ;29.9381191 
burglary;-95.4705634 ;29.7847419 
burglary;-95.4874916 ;29.8316135 
burglary;-95.5584001 ;29.7480950 
burglary;-95.5735030 ;29.7861610 
burglary;-95.3353817 ;29.7848311 
burglary;-95.5377410 ;29.7271250 
burglary;-95.2895262 ;29.7043010 
burglary;-95.2537067 ;29.6552712 
burglary;-95.5051464 ;29.8555267 
burglary;-95.4500289 ;29.8173343 
burglary;-95.4666810 ;29.8840610 
burglary;-95.2467520 ;29.6052290 
burglary;-95.5359283 ;29.7005979 
burglary;-95.2189152 ;29.7757573 
burglary;-95.3553412 ;29.7489593 
burglary;-95.5582087 ;29.9568951 
burglary;-95.4893757 ;29.6817176 
burglary;-95.3568202 ;29.7249719 
burglary;-95.3837792 ;29.7475953 
burglary;-95.2884107 ;29.7097623 
burglary;-95.5555775 ;29.9620006 
burglary;-95.3249430 ;29.6368990 
burglary;-95.3802931 ;29.7215768 
burglary;-95.5402161 ;29.7989565 
burglary;-95.6069950 ;29.7218690 
burglary;-95.2689510 ;29.6726220 
burglary;-95.5830093 ;29.6580582 
burglary;-95.3203182 ;29.7274362 
burglary;-95.3215861 ;29.8155086 
burglary;-95.4048545 ;29.9303882 
burglary;-95.5775580 ;29.7098810 
burglary;-95.5196829 ;29.6616391 
burglary;-95.1105695 ;29.6041544 
burglary;-95.5537264 ;29.9620261 
burglary;-95.3560209 ;29.6508048 
burglary;-95.3574901 ;29.7280839 
burglary;-95.6117280 ;29.7531360 
burglary;-95.2133812 ;29.6467008 
burglary;-95.4477160 ;29.5919820 
burglary;-95.5426744 ;29.7182808 
burglary;-95.5521627 ;29.6949487 
burglary;-95.4322624 ;29.6117432 
burglary;-95.3110501 ;29.6208668 
burglary;-95.5891962 ;29.6949856 
burglary;-95.5567690 ;29.6526261 
burglary;-95.5762807 ;29.7422980 
burglary;-95.4411642 ;29.6870919 
burglary;-95.1818291 ;30.0780130 
burglary;-95.6245110 ;29.7509970 
burglary;-95.5124544 ;29.6288183 
burglary;-95.4920623 ;29.6079739 
burglary;-95.3366698 ;29.6732229 
burglary;-95.3079068 ;29.8483294 
burglary;-95.4880084 ;29.7164757 
burglary;-95.3340261 ;29.8710063 
burglary;-95.4681642 ;29.7221751 
burglary;-95.4507740 ;29.8141285 
burglary;-95.5553203 ;29.6677316 
burglary;-95.5537264 ;29.9620261 
burglary;-95.2458655 ;29.6379406 
burglary;-95.5088280 ;29.6410920 
burglary;-95.5078511 ;29.6897347 
burglary;-95.4230785 ;29.8173979 
burglary;-95.3242463 ;29.8105960 
burglary;-95.5155391 ;29.7988023 
burglary;-95.6070716 ;29.7274688 
burglary;-95.4394380 ;29.9429180 
burglary;-95.3381376 ;29.8476321 
burglary;-95.6238559 ;29.7366850 
burglary;-95.6115074 ;29.7329963 
burglary;-95.5390479 ;29.7930770 
burglary;-95.5807342 ;29.6785619 
burglary;-95.3133404 ;29.8039746 
burglary;-95.4033815 ;29.6990230 
burglary;-95.5240220 ;29.7096601 
burglary;-95.3369043 ;29.8735085 
burglary;-95.2505227 ;29.8439722 
burglary;-95.4877571 ;29.7056210 
burglary;-95.4145046 ;29.6944087 
burglary;-95.6184011 ;29.7541395 
burglary;-95.2306550 ;29.6022340 
burglary;-95.3693226 ;29.8623542 
burglary;-95.3568202 ;29.7249719 
burglary;-95.3212320 ;29.6627820 
burglary;-95.5010008 ;29.7153362 
burglary;-95.4231772 ;29.9580099 
burglary;-95.3636593 ;29.6343815 
burglary;-95.2410460 ;29.6411270 
burglary;-95.4194275 ;29.5992673 
burglary;-95.4986399 ;29.6850708 
burglary;-95.4437030 ;29.8331510 
burglary;-95.6884987 ;29.7930871 
burglary;-95.3520119 ;29.7646701 
burglary;-95.2816863 ;29.7778879 
burglary;-95.3721574 ;29.6866099 
burglary;-95.4665617 ;29.5967528 
burglary;-95.5115097 ;29.7131080 
burglary;-95.3640060 ;29.7365242 
burglary;-95.2954548 ;29.9521875 
burglary;-95.5413419 ;29.7323074 
burglary;-95.3332275 ;29.7750644 
burglary;-95.2605123 ;29.6088698 
burglary;-95.2867580 ;29.8772170 
burglary;-95.3897164 ;29.7353502 
burglary;-95.2437851 ;29.6354173 
burglary;-95.2282533 ;29.6154305 
burglary;-95.3414826 ;29.6967516 
burglary;-95.2698237 ;29.8171661 
burglary;-95.3117682 ;29.8426454 
burglary;-95.5421558 ;29.7231467 
burglary;-95.6142595 ;29.7172163 
burglary;-95.3012750 ;29.7220071 
burglary;-95.5705260 ;29.6836940 
burglary;-95.2527190 ;29.8508033 
burglary;-95.4033815 ;29.6990230 
burglary;-95.3384825 ;29.8291193 
burglary;-95.5335705 ;29.7488340 
burglary;-95.3955680 ;29.7488977 
burglary;-95.2371584 ;30.0493287 
burglary;-95.2791604 ;29.6749868 
burglary;-95.5523072 ;29.7002417 
burglary;-95.4931044 ;29.6190251 
burglary;-95.3395550 ;29.6306200 
burglary;-95.5815940 ;29.7131380 
burglary;-95.5096259 ;29.8111382 
burglary;-95.3844513 ;29.8473957 
burglary;-95.3920686 ;29.9505666 
burglary;-95.2775470 ;29.6658410 
burglary;-95.4668844 ;29.8410681 
burglary;-95.5965183 ;29.6921664 
burglary;-95.4732848 ;29.8601684 
burglary;-95.2904081 ;29.6762972 
burglary;-95.6840593 ;29.7956792 
burglary;-95.3321921 ;29.6422680 
burglary;-95.5435213 ;29.8034245 
burglary;-95.5263031 ;29.7179342 
burglary;-95.6108872 ;29.7014627 
burglary;-95.5607320 ;29.6700825 
burglary;-95.5275960 ;29.6717290 
burglary;-95.2704565 ;29.6579275 
burglary;-95.1535396 ;29.5424887 
burglary;-95.3650852 ;29.7297995 
burglary;-95.4609739 ;29.6007504 
burglary;-95.4809278 ;29.5896276 
burglary;-95.2532765 ;29.8578549 
burglary;-95.2755516 ;29.7008346 
burglary;-95.3832405 ;29.7482734 
burglary;-95.5392530 ;29.7482340 
burglary;-95.5584477 ;29.6860730 
burglary;-95.5014927 ;29.7091003 
burglary;-95.3124240 ;29.6706968 
burglary;-95.5150832 ;29.6424204 
burglary;-95.3652689 ;29.8508554 
burglary;-95.5031954 ;29.6433335 
burglary;-95.1894404 ;30.0717996 
burglary;-95.5088088 ;29.6783875 
burglary;-95.4947939 ;29.6503272 
burglary;-95.4815489 ;29.7201186 
burglary;-95.3585238 ;29.8367828 
burglary;-95.3952411 ;29.9480669 
burglary;-95.5283295 ;29.7052095 
burglary;-95.5643818 ;29.6865225 
burglary;-95.5204006 ;29.8529098 
burglary;-95.3082585 ;29.6861663 
burglary;-95.4732050 ;29.8556259 
burglary;-95.5711170 ;29.6670696 
burglary;-95.3089702 ;29.8483232 
burglary;-95.2769979 ;29.6635849 
burglary;-95.4093584 ;29.7659463 
burglary;-95.5762807 ;29.7422980 
burglary;-95.3341990 ;29.6622550 
burglary;-95.5532389 ;29.7005630 
burglary;-95.5549507 ;29.6709186 
burglary;-95.1936710 ;29.5861900 
burglary;-95.5335705 ;29.7488340 
burglary;-95.3728990 ;29.7057570 
burglary;-95.3659001 ;29.8421336 
burglary;-95.1986183 ;29.7817097 
burglary;-95.2390989 ;29.6110976 
burglary;-95.3830615 ;29.7628844 
burglary;-95.2395400 ;29.6362220 
burglary;-95.4543853 ;29.8795026 
burglary;-95.4478241 ;29.6239212 
burglary;-95.2810990 ;30.0015262 
burglary;-95.4549818 ;29.8818611 
burglary;-95.3830615 ;29.7628844 
burglary;-95.2395400 ;29.6362220 
burglary;-95.1822043 ;29.5843823 
burglary;-95.2624434 ;29.8494340 
burglary;-95.4460911 ;29.6268380 
burglary;-95.2930937 ;29.8770655 
burglary;-95.3632715 ;29.7632836 
burglary;-95.5746947 ;29.6906556 
burglary;-95.4380335 ;29.6282439 
burglary;-95.5264772 ;29.7032579 
burglary;-95.2278793 ;29.6103952 
burglary;-95.3464620 ;29.6640720 
burglary;-95.1722844 ;30.0342967 
burglary;-95.2823991 ;29.8458235 
burglary;-95.5413664 ;29.6981953 
burglary;-95.3976762 ;29.8560803 
burglary;-95.2090582 ;29.8136135 
burglary;-95.3728990 ;29.7057570 
burglary;-95.2769979 ;29.6635849 
burglary;-95.2368480 ;29.6814240 
burglary;-95.4186288 ;29.9492488 
burglary;-95.3714581 ;29.7410331 
burglary;-95.5938640 ;29.6675970 
burglary;-95.4591248 ;29.8246083 
burglary;-95.5027230 ;29.6562525 
burglary;-95.5079273 ;29.6809215 
burglary;-95.5050660 ;29.6587550 
burglary;-95.2398073 ;29.6809390 
burglary;-95.4553520 ;29.8643710 
burglary;-95.3466350 ;29.8471700 
burglary;-95.3973447 ;29.9477414 
burglary;-95.3055849 ;29.8663260 
burglary;-95.5403090 ;29.7136836 
burglary;-95.3390203 ;29.8343496 
burglary;-95.3144588 ;29.8405911 
burglary;-95.4199310 ;29.6140180 
burglary;-95.1675352 ;30.0573431 
burglary;-95.6058884 ;29.7333302 
