offense;lon;lat
murder;-95.4373883 ;29.6779015 
murder;-95.4394380 ;29.9429180 
murder;-95.5590627 ;29.6748034 
murder;-95.4273229 ;29.8737623 
murder;-95.2749319 ;29.8605973 
murder;-95.3507330 ;29.7318104 
murder;-95.3050873 ;29.8171360 
murder;-95.2778469 ;29.6958906 
murder;-95.5136730 ;29.8014680 
murder;-95.4040093 ;29.7715943 
murder;-95.3670152 ;29.7046425 
murder;-95.3578412 ;29.7355854 
murder;-95.3858127 ;29.7345140 
murder;-95.3020122 ;29.8365551 
murder;-95.5504540 ;29.6836590 
murder;-95.2853132 ;29.6181716 
murder;-95.4385476 ;29.7354667 
murder;-95.5468968 ;29.7139882 
murder;-95.5263839 ;29.7291259 
murder;-95.3441130 ;29.6490301 
murder;-95.2801560 ;29.8443680 
murder;-95.1801060 ;29.5926966 
murder;-95.3191242 ;29.7679419 
murder;-95.4739109 ;29.5974679 
murder;-95.4849907 ;29.8095289 
murder;-95.4137874 ;29.8983143 
murder;-95.3746050 ;29.8121119 
murder;-95.5390479 ;29.7930770 
murder;-95.5052360 ;29.8303770 
murder;-95.3961520 ;29.8113745 
murder;-95.5033242 ;29.8751153 
murder;-95.3130333 ;29.8330912 
murder;-95.5340087 ;29.6697723 
murder;-95.5043409 ;29.6687654 
murder;-95.5746805 ;29.6896010 
murder;-95.2859694 ;29.6071071 
murder;-95.2837087 ;29.6758581 
murder;-95.4318395 ;29.6237604 
murder;-95.3076770 ;29.6985780 
murder;-95.2588581 ;29.8542542 
murder;-95.2779750 ;29.6546030 
murder;-95.2395400 ;29.6362220 
murder;-95.2752745 ;29.7146855 
murder;-95.4797778 ;29.8490791 
murder;-95.5340750 ;29.6900436 
murder;-95.3748088 ;29.7445799 
murder;-95.4394380 ;29.9429180 
murder;-95.4008326 ;29.9317777 
murder;-95.4191795 ;29.6809422 
murder;-95.4065921 ;29.6138436 
murder;-95.3618924 ;29.6602516 
murder;-95.3380779 ;29.6958047 
murder;-95.5810852 ;29.6967024 
murder;-95.2419963 ;29.7041895 
murder;-95.3464345 ;29.6681957 
murder;-95.2949301 ;29.7690893 
murder;-95.3100709 ;29.6663031 
murder;-95.3527416 ;29.7196771 
murder;-95.5871641 ;29.7007098 
murder;-95.5575317 ;29.6532373 
murder;-95.3341246 ;29.6866225 
murder;-95.2736732 ;29.6614452 
murder;-95.5082883 ;29.7451516 
murder;-95.5960664 ;29.6970741 
murder;-95.3419028 ;29.7421245 
murder;-95.5850505 ;29.7385222 
murder;-95.5809787 ;29.6888446 
murder;-95.3598376 ;29.7472395 
murder;-95.2534266 ;29.6701831 
murder;-95.3390250 ;29.8405551 
murder;-95.5011846 ;29.7481774 
murder;-95.2713403 ;29.7147562 
murder;-95.4853878 ;29.5931418 
murder;-95.3449783 ;29.6749958 
murder;-95.4064129 ;29.8286161 
murder;-95.4100499 ;29.7211542 
murder;-95.4774967 ;29.8499442 
murder;-95.2949198 ;29.6850963 
murder;-95.5073703 ;29.7400216 
murder;-95.4881550 ;29.8063160 
murder;-95.4592637 ;29.8172965 
murder;-95.3674428 ;29.7554486 
murder;-95.5924138 ;29.7819982 
murder;-95.2087735 ;29.8139833 
murder;-95.5421558 ;29.7231467 
murder;-95.5924660 ;29.6927770 
murder;-95.3540295 ;29.6526174 
murder;-95.3615347 ;29.6398383 
murder;-95.4743697 ;29.8689976 
murder;-95.2244854 ;29.5923478 
murder;-95.4729205 ;29.7845724 
murder;-95.4054070 ;29.9471441 
murder;-95.5400835 ;29.7910852 
murder;-95.5377352 ;29.6958725 
murder;-95.5960817 ;29.7379601 
murder;-95.4922519 ;29.6289852 
murder;-95.5341150 ;29.7470370 
murder;-95.4767949 ;29.8491308 
murder;-95.2758612 ;29.6322183 
murder;-95.5041115 ;29.6765066 
murder;-95.2752745 ;29.7146855 
murder;-95.2414913 ;29.6446117 
murder;-95.2622678 ;29.6942460 
murder;-95.4731964 ;29.7929406 
murder;-95.4336229 ;29.7277961 
murder;-95.4497012 ;29.8141361 
murder;-95.5952759 ;29.6615361 
murder;-95.5575317 ;29.6532373 
murder;-95.2850525 ;29.8485683 
murder;-95.2791388 ;29.9364121 
murder;-95.4215004 ;29.6088761 
murder;-95.3712772 ;29.8623341 
murder;-95.5774930 ;29.6621940 
murder;-95.3843059 ;29.8060803 
murder;-95.3714712 ;29.8361559 
murder;-95.2997616 ;29.6943475 
murder;-95.3539949 ;29.8158559 
murder;-95.3700943 ;29.7163112 
murder;-95.4055740 ;29.7921264 
murder;-95.3431930 ;29.6973723 
murder;-95.5315475 ;29.6884306 
murder;-95.6012477 ;29.6797227 
murder;-95.3789637 ;29.7179619 
murder;-95.3362213 ;29.7852459 
murder;-95.3269399 ;29.7360030 
murder;-95.6336530 ;29.7328000 
murder;-95.3677874 ;29.6893579 
murder;-95.6001395 ;29.6826030 
murder;-95.3558380 ;29.7303250 
murder;-95.5356032 ;29.6108096 
murder;-95.5176643 ;29.7411517 
murder;-95.3787850 ;29.7459015 
murder;-95.5297258 ;29.8366240 
murder;-95.4932457 ;29.6364562 
murder;-95.5078470 ;29.7379720 
murder;-95.3395640 ;29.6312291 
murder;-95.5355254 ;29.6107421 
murder;-95.4262366 ;29.9642105 
murder;-95.3773153 ;29.7270956 
murder;-95.3877659 ;29.9529655 
murder;-95.4676210 ;29.5905660 
murder;-95.6048434 ;29.7169457 
murder;-95.3118120 ;29.7118280 
murder;-95.4516803 ;29.6731314 
murder;-95.3118120 ;29.7118280 
murder;-95.4252318 ;29.8851296 
murder;-95.5260510 ;29.7989090 
murder;-95.3249430 ;29.6368990 
murder;-95.5193951 ;29.7145606 
murder;-95.5636697 ;29.6743309 
murder;-95.5027230 ;29.6562525 
murder;-95.5619700 ;29.7284880 
murder;-95.5084817 ;29.6543899 
murder;-95.5142137 ;29.8404070 
murder;-95.5584642 ;29.7389644 
murder;-95.3927506 ;29.8249034 
murder;-95.2967154 ;29.7133504 
