offense;lon;lat
rape;-95.4849820 ;29.7200746 
rape;-95.3481730 ;29.7550530 
rape;-95.4735288 ;29.6002118 
rape;-95.4817376 ;29.7260330 
rape;-95.5522426 ;29.6983644 
rape;-95.2553549 ;29.7414671 
rape;-95.6105550 ;29.7274900 
rape;-95.5087280 ;29.6476660 
rape;-95.4275373 ;29.7996037 
rape;-95.3830615 ;29.7628844 
rape;-95.2621709 ;29.8365127 
rape;-95.4121970 ;29.9056431 
rape;-95.3487194 ;29.8377030 
rape;-95.3997105 ;29.9457440 
rape;-95.2837087 ;29.6758581 
rape;-95.3823727 ;29.7350565 
rape;-95.4014646 ;29.7278605 
rape;-95.3692753 ;29.7305090 
rape;-95.3726568 ;29.6969100 
rape;-95.5116452 ;29.5865612 
rape;-95.4014646 ;29.7278605 
rape;-95.5929083 ;29.7885555 
rape;-95.3986176 ;29.9439035 
rape;-95.2487431 ;29.6955498 
rape;-95.2765936 ;29.6873691 
rape;-95.3581034 ;29.7276289 
rape;-95.3938936 ;29.7114424 
rape;-95.5010008 ;29.7153362 
rape;-95.2201792 ;29.7757542 
rape;-95.4204045 ;29.8694905 
rape;-95.2395446 ;29.6109013 
rape;-95.4228269 ;29.7019346 
rape;-95.3809576 ;29.7383558 
rape;-95.5225562 ;29.8244435 
rape;-95.5688249 ;29.6647983 
rape;-95.2773043 ;29.6736640 
rape;-95.5460242 ;29.7071920 
rape;-95.3413769 ;29.7937415 
rape;-95.4014646 ;29.7278605 
rape;-95.5143457 ;29.8540643 
rape;-95.5971421 ;29.7829275 
rape;-95.2159557 ;29.7732457 
rape;-95.4885282 ;29.7353783 
rape;-95.5389543 ;29.7090043 
rape;-95.3758464 ;29.8347733 
rape;-95.1518310 ;29.5820640 
rape;-95.5012016 ;29.7253771 
rape;-95.3717551 ;29.7451339 
rape;-95.3624130 ;29.7314396 
rape;-95.3499258 ;29.6121598 
rape;-95.7436380 ;29.9888600 
rape;-95.5513600 ;29.6467150 
rape;-95.5180412 ;29.7119152 
rape;-95.6060569 ;29.7060801 
rape;-95.5553203 ;29.6677316 
rape;-95.6124401 ;29.7166491 
rape;-95.2924963 ;29.8843712 
rape;-95.3951581 ;29.9505382 
rape;-95.3632715 ;29.7632836 
rape;-95.4228269 ;29.7019346 
rape;-95.5405371 ;29.6459115 
rape;-95.4335619 ;29.8790669 
rape;-95.4102410 ;29.9488090 
rape;-95.6512559 ;29.7854068 
rape;-95.3328136 ;29.8291595 
rape;-95.6165610 ;29.7176140 
rape;-95.5557867 ;29.7118053 
rape;-95.5521627 ;29.6949487 
rape;-95.5290840 ;29.7275504 
rape;-95.4386105 ;29.6108284 
rape;-95.5012024 ;29.7377262 
rape;-95.2917654 ;29.7829518 
rape;-95.5182414 ;29.6820601 
rape;-95.4208654 ;29.6804313 
rape;-95.5073703 ;29.7400216 
rape;-95.3556146 ;29.6523849 
