offense;lon;lat
robbery;-95.50416;29.71865
robbery;-95.64671;29.73564
robbery;-95.59599;29.6927
robbery;-95.6885;29.79309
robbery;-95.39557;29.6873
robbery;-95.28933;29.67335
robbery;-95.5224;29.73734
robbery;-95.58871;29.68897
robbery;-95.36327;29.76328
robbery;-95.53524;29.61039
robbery;-95.47844;29.70831
robbery;-95.5441;29.71375
robbery;-95.58572;29.67552
robbery;-95.51712;29.73753
robbery;-95.24813;29.64581
robbery;-95.48678;29.73068
robbery;-95.35574;29.65365
robbery;-95.46993;29.83005
robbery;-95.48002;29.65482
robbery;-95.47658;29.72073
robbery;-95.26234;29.67574
robbery;-95.51337;29.6845
robbery;-95.53401;29.66977
robbery;-95.54779;29.67559
robbery;-95.61062;29.71624
robbery;-95.36713;29.73024
robbery;-95.39557;29.7489
robbery;-95.4071;29.92513
robbery;-95.24105;29.64113
robbery;-95.53952;29.8127
robbery;-95.5391;29.71815
robbery;-95.31691;29.79808
robbery;-95.53986;29.75193
robbery;-95.43819;29.72914
robbery;-95.39768;29.85608
robbery;-95.55339;29.96533
robbery;-95.60125;29.67972
robbery;-95.55231;29.70024
robbery;-95.45495;29.74555
robbery;-95.53972;29.8666
robbery;-95.50785;29.73797
robbery;-95.50193;29.70027
robbery;-95.3718;29.7484
robbery;-95.18704;29.78049
robbery;-95.3655;29.702
robbery;-95.32574;29.83036
robbery;-95.4493;29.88341
robbery;-95.24466;29.6418
robbery;-95.55753;29.65324
robbery;-95.39035;29.69195
robbery;-95.58505;29.73852
robbery;-95.48258;29.67901
robbery;-95.68406;29.79666
robbery;-95.35647;29.77746
robbery;-95.50921;29.82729
robbery;-95.49321;29.70258
robbery;-95.35892;29.73624
robbery;-95.3377;29.82893
robbery;-95.23262;29.63069
robbery;-95.55369;29.79151
robbery;-95.38266;29.82856
robbery;-95.35006;29.72776
robbery;-95.31726;29.64548
robbery;-95.53681;29.83356
robbery;-95.53401;29.66977
robbery;-95.50692;29.69202
robbery;-95.38434;29.84517
robbery;-95.54933;29.67546
robbery;-95.64294;29.67965
robbery;-95.37541;29.87015
robbery;-95.50682;29.88062
robbery;-95.52979;29.72948
robbery;-95.35967;29.78164
robbery;-95.23954;29.63622
robbery;-95.50873;29.64767
robbery;-95.37038;29.85901
robbery;-95.63474;29.60262
robbery;-95.53804;29.70013
robbery;-95.50522;29.81107
robbery;-95.50753;29.62977
robbery;-95.37142;29.75091
robbery;-95.53851;29.74269
robbery;-95.57749;29.66219
robbery;-95.43408;29.89797
robbery;-95.59595;29.68981
robbery;-95.59654;29.67638
robbery;-95.39734;29.94774
robbery;-95.612;29.70354
robbery;-95.30793;29.68089
robbery;-95.46481;29.60879
robbery;-95.12505;29.56196
robbery;-95.3758;29.67308
robbery;-95.60614;29.74556
robbery;-95.55146;29.87488
robbery;-95.55999;29.67863
robbery;-95.36652;29.87043
robbery;-95.43492;29.94613
robbery;-95.53257;29.66847
robbery;-95.21948;29.781
robbery;-95.33661;29.67599
robbery;-95.55216;29.69495
robbery;-95.39557;29.6873
robbery;-95.56786;29.68895
robbery;-95.39504;29.9473
robbery;-95.12906;29.57029
robbery;-95.48531;29.81657
robbery;-95.50392;29.64485
robbery;-95.61858;29.73606
robbery;-95.46487;29.60498
robbery;-95.30123;29.77151
robbery;-95.60584;29.77051
robbery;-95.54134;29.73231
robbery;-95.59097;29.67554
robbery;-95.41195;29.92554
robbery;-95.53269;29.67452
robbery;-95.29516;29.78757
robbery;-95.37763;29.84549
robbery;-95.26567;29.67178
robbery;-95.50135;29.65663
robbery;-95.28266;29.80945
robbery;-95.51264;29.84877
robbery;-95.51053;29.72583
robbery;-95.48349;29.79638
robbery;-95.15007;29.56969
robbery;-95.47352;29.88439
robbery;-95.34728;29.76017
robbery;-95.48153;29.70567
robbery;-95.56498;29.74081
robbery;-95.63474;29.60262
robbery;-95.54562;29.70909
robbery;-95.30144;29.6989
robbery;-95.55327;29.73926
robbery;-95.38061;29.73398
robbery;-95.50109;29.73535
robbery;-95.30582;29.73535
robbery;-95.22549;29.77136
robbery;-95.41195;29.92554
robbery;-95.28326;29.6797
robbery;-95.60375;29.67845
robbery;-95.39207;29.95057
robbery;-95.57559;29.71402
robbery;-95.48719;29.73539
robbery;-95.28947;29.66396
robbery;-95.35222;29.69114
robbery;-95.53442;29.72899
robbery;-95.28451;29.84709
robbery;-95.24239;29.75181
robbery;-95.48365;29.7092
robbery;-95.47683;29.62125
robbery;-95.24528;29.79489
robbery;-95.51636;29.82114
robbery;-95.52136;29.7848
robbery;-95.52908;29.72755
robbery;-95.55659;29.96453
robbery;-95.5201;29.79865
robbery;-95.47764;29.84043
robbery;-95.28631;29.73078
robbery;-95.3456;29.81329
robbery;-95.43943;29.67693
robbery;-95.40655;29.92239
robbery;-95.39736;29.93812
robbery;-95.32006;29.69267
robbery;-95.37372;29.74264
robbery;-95.52917;29.73725
robbery;-95.33574;29.77153
robbery;-95.51451;29.68395
robbery;-95.37387;29.859
robbery;-95.58871;29.6694
robbery;-95.36032;29.78905
robbery;-95.612;29.70354
robbery;-95.49543;29.63994
robbery;-95.28236;29.77789
robbery;-95.37584;29.84554
robbery;-95.46902;29.85805
robbery;-95.56786;29.68895
robbery;-95.4071;29.92513
robbery;-95.29643;29.71728
robbery;-95.39431;29.85681
robbery;-95.40133;29.74507
robbery;-95.42984;29.732
robbery;-95.71507;29.77884
robbery;-95.56784;29.73172
robbery;-95.26244;29.84943
robbery;-95.47978;29.84908
robbery;-95.42339;29.68314
robbery;-95.11569;29.56054
robbery;-95.36365;29.83759
robbery;-95.3006;29.86164
robbery;-95.60629;29.68177
robbery;-95.38431;29.84348
robbery;-95.42751;29.70501
robbery;-95.59645;29.77813
robbery;-95.74364;29.98886
robbery;-95.51249;29.80993
robbery;-95.18071;30.03333
robbery;-95.55216;29.69495
robbery;-95.22018;29.77575
robbery;-95.50522;29.81107
robbery;-95.49322;29.59901
robbery;-95.38428;29.83418
robbery;-95.50119;29.73773
robbery;-95.36154;29.73252
robbery;-95.36969;29.81196
robbery;-95.3188;29.74319
robbery;-95.12194;29.56951
robbery;-95.53905;29.79308
robbery;-95.30055;29.88257
robbery;-95.55227;29.69942
robbery;-95.24441;29.64774
robbery;-95.56948;29.68861
robbery;-95.49206;29.72612
robbery;-95.26902;29.67616
robbery;-95.71507;29.77884
robbery;-95.47978;29.84908
robbery;-95.6032;29.6849
robbery;-95.56073;29.67008
robbery;-95.33696;29.74897
robbery;-95.26336;29.66712
robbery;-95.5391;29.71815
robbery;-95.37226;29.73971
robbery;-95.38346;29.73892
robbery;-95.5012;29.72538
robbery;-95.26418;29.84996
robbery;-95.3549;29.67006
robbery;-95.55781;29.704
robbery;-95.50867;29.66798
robbery;-95.68829;29.79451
robbery;-95.48658;29.80287
robbery;-95.40205;29.94422
robbery;-95.53889;29.73728
robbery;-95.30134;29.95215
robbery;-95.48135;29.72012
robbery;-95.26242;29.85919
robbery;-95.37571;29.84115
robbery;-95.31181;29.71183
robbery;-95.58301;29.65806
robbery;-95.5017;29.80303
robbery;-95.27866;29.67206
robbery;-95.43347;29.73307
robbery;-95.28886;29.69587
robbery;-95.37092;29.70461
robbery;-95.33211;29.79636
robbery;-95.24427;29.64457
robbery;-95.56271;29.68332
robbery;-95.33748;29.67186
robbery;-95.36081;29.79382
robbery;-95.35914;29.65602
robbery;-95.49206;29.72612
robbery;-95.39335;29.74629
robbery;-95.35598;29.67837
robbery;-95.40283;29.84116
robbery;-95.39769;29.93492
robbery;-95.47817;29.6777
robbery;-95.51076;29.72942
robbery;-95.38772;29.7847
robbery;-95.30281;29.84852
robbery;-95.22018;29.77575
robbery;-95.35425;29.71571
robbery;-95.38099;29.73678
robbery;-95.51249;29.80993
robbery;-95.36204;29.69289
robbery;-95.29594;29.87152
robbery;-95.31691;29.79808
robbery;-95.31689;29.80124
robbery;-95.48461;29.72361
robbery;-95.48486;29.79498
robbery;-95.19372;29.78518
robbery;-95.36832;29.64504
robbery;-95.38573;29.75373
robbery;-95.53895;29.709
robbery;-95.55834;29.73367
robbery;-95.41195;29.92554
robbery;-95.49318;29.72074
robbery;-95.36032;29.78905
robbery;-95.55438;29.6894
robbery;-95.31694;29.79912
robbery;-95.51609;29.65627
robbery;-95.47491;30.02237
robbery;-95.36534;29.74395
robbery;-95.31302;29.84826
robbery;-95.32233;29.80215
robbery;-95.5355;29.61072
robbery;-95.59612;29.69988
robbery;-95.53767;29.7145
robbery;-95.55479;29.65613
robbery;-95.61381;29.72829
robbery;-95.40333;29.69012
robbery;-95.37387;29.82844
robbery;-95.48446;29.81064
robbery;-95.40137;29.74281
robbery;-95.39984;29.93459
robbery;-95.34271;29.6789
robbery;-95.25858;29.66274
robbery;-95.30123;29.77504
robbery;-95.51422;29.73663
robbery;-95.61441;29.74776
robbery;-95.47069;29.84437
robbery;-95.29284;29.85822
robbery;-95.28434;29.82685
robbery;-95.5763;29.7419
robbery;-95.50114;29.72235
robbery;-95.3074;29.78027
robbery;-95.39937;29.95051
robbery;-95.3862;29.85677
robbery;-95.35858;29.78202
robbery;-95.19758;30.04125
robbery;-95.45602;29.75337
robbery;-95.48492;29.71735
robbery;-95.48216;29.65733
robbery;-95.33101;29.81348
robbery;-95.37262;29.70607
robbery;-95.36833;29.8757
robbery;-95.33256;29.6368
robbery;-95.49458;29.67913
robbery;-95.37546;29.69373
robbery;-95.34105;29.68744
robbery;-95.34533;29.68233
robbery;-95.50566;29.63973
robbery;-95.54478;29.85727
robbery;-95.36057;29.78665
robbery;-95.31084;29.7094
robbery;-95.51151;29.71311
robbery;-95.34925;29.84809
robbery;-95.57205;29.74807
robbery;-95.53077;29.6561
robbery;-95.50007;29.71741
robbery;-95.30205;29.83292
robbery;-95.36848;29.80314
robbery;-95.28766;29.68503
robbery;-95.36175;29.7451
robbery;-95.49662;29.8676
robbery;-95.39922;29.80465
robbery;-95.55197;29.68728
robbery;-95.40378;29.95043
robbery;-95.56824;29.70404
robbery;-95.53883;29.75039
robbery;-95.30997;29.7765
robbery;-95.38459;29.85778
robbery;-95.34767;29.80819
robbery;-95.5524;29.68004
robbery;-95.34289;29.84446
robbery;-95.37189;29.85405
robbery;-95.36585;29.65163
robbery;-95.48453;29.81179
robbery;-95.3363;29.84855
robbery;-95.28903;29.69601
robbery;-95.49206;29.72612
robbery;-95.50522;29.81107
robbery;-95.31863;29.84824
robbery;-95.12623;29.56108
robbery;-95.32498;29.7474
robbery;-95.60028;29.76717
robbery;-95.36327;29.76328
robbery;-95.3718;29.7484
robbery;-95.32219;29.84817
robbery;-95.53155;29.68843
robbery;-95.28384;29.94048
robbery;-95.35228;29.66868
robbery;-95.43175;29.67946
robbery;-95.57484;29.78522
robbery;-95.48357;29.70565
robbery;-95.53084;29.82141
robbery;-95.53442;29.72899
robbery;-95.35216;29.87095
robbery;-95.59952;29.77022
robbery;-95.63152;29.78462
robbery;-95.27798;29.6546
robbery;-95.56895;29.67756
robbery;-95.60915;29.7738
robbery;-95.55846;29.75597
robbery;-95.47305;29.59186
robbery;-95.23847;29.64323
robbery;-95.5524;29.68004
robbery;-95.33283;29.66804
robbery;-95.58635;29.73117
robbery;-95.30159;30.0013
robbery;-95.23585;29.84743
robbery;-95.51692;29.71304
robbery;-95.28933;29.67335
robbery;-95.30906;29.66905
robbery;-95.4754;29.73803
robbery;-95.56591;29.68693
robbery;-95.14286;29.56031
robbery;-95.31358;29.93452
robbery;-95.33241;29.84879
